"Normal melting temperature, K",salt_name
289.1,1-methyl-3-(1-methylethyl)imidazolium bis[(trifluoromethyl)sulfonyl]imide
300.1,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
352.1,1-ethyl-3-methylimidazolium iodide
391.1,"1,2,3,4,5-pentamethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
498.6,tetrabutylphosphonium hexafluorophosphate
383.6,1-methyl-1-propylpyrrolidinium hexafluorophosphate
311.2,1-methyl-3-propylpyridinium hexafluorophosphate
311.6,1-methyl-3-propylimidazolium hexafluorophosphate
272.2,1-octyl-3-methylimidazolium hexafluorophosphate
341.9,1-butyl-3-methylimidazolium chloride
282.2,1-butyl-3-methylimidazolium hexafluorophosphate
253,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
277.6,1-ethyl-3-methylimidazolium tetrafluoroborate
289.2,"1-methyl-3-(9E)-9-octadecen-1-yl-1H-Imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
252.3,1-oleyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide
226.4,"1-methyl-3-(9Z,12Z)-9,12-octadecadien-1-yl-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
381.1,"(t-4)-bis(2,4-pentanedionato-O,O')beryllium"
383.1,ammonium fluoride
369.1,choline pivalate
341.9,1-butyl-3-methylimidazolium chloride
353.65,decanoic acid cyclohexanamine salt (1:1)
357.65,dodecanoic acid cyclohexanamine salt (1:1)
360.75,tetradecanoic acid cyclohexanamine salt(1:1)
363.75,hexadecanoic acid cyclohexanamine salt (1:1)
356.95,tridecanoic acid cyclohexylamine salt (1:1)
363.95,heptadecanoic acid cyclohexanamine salt (1:1)
366.15,octadecanoic acid cyclohexanamine salt (1:1)
387.1,3-p-iodobenzoyloxyethyl-1-methylimidazolium tetrafluoroborate
350.6,3-m-iodobenzoyloxyethyl-1-methylimidazolium tetrafluoroborate
372.6,1-(2-hydroxyethyl)pyridinium bromide
304.8,Didecyldimethylammonium nitrate
279.2,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide
398,"lauric acid, thallium(1+) salt"
374,thallium methanoate
396.1,"2,2-dihydroxydiethylamine"
309,"1-hexyl-1,4-diazabicyclo[2.2.2]octan-1-ium bis((trifluoromethyl)sulfonyl)amide"
273.3,1-(2-methoxyethyl)-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate
266.7,"N,N-dimethyl-N-ethyl-N-pentylammonium bis(trifluoromethylsulfonyl)"
361.1,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
281.1,"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
285.1,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
255.1,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
257.1,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
287.1,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide
293.1,"N,N-dimethyl-N-propyl-1-butanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
289.1,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide
263.1,"N-ethyl-N,N-dimethyl-1-propanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
276.1,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide
272.1,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
359.1,1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
255.1,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
285.1,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
361.1,"1-heptanaminium, N,N,N-triheptyl-, bromide"
276.1,1-propylpyridinium dicyanamide
240,1-ethylpyridinium dicyanamide
256.9,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
